#,time,n,DT,T2,I,V,R
1,5.25,663,212,50.2,0.016,5.795,362.1875
2,6.21,696,212,61.5,0.0168,6.1,363.0952380952
3,7.13,746,202,70.1,0.018,6.539,363.2777777778
4,8.01,751,195,75.5,0.0198,6.608,333.7373737374
5,8.54,814,187,80.8,0.0213,7.065,331.6901408451
6,9.4,809,190,84.1,0.0238,7.049,296.1764705882
7,10.26,801,188,86.9,0.0232,6.946,299.3965517241
8,11.14,784,190,88.6,0.0259,6.76,261.0038610039
9,12,756,193,89.4,0.0251,6.525,259.9601593626
10,12.46,739,188,90.2,0.0288,6.33,219.7916666667
11,13.31,749,188,90.6,0.029,6.405,220.8620689655
12,14.22,728,184,91,0.0335,6.19,184.776119403
13,15.08,730,189,91,0.0338,6.217,183.9349112426
14,15.58,698,187,91,0.0399,5.882,147.4185463659
15,16.56,695,191,91.2,0.0398,5.856,147.135678392
16,17.55,682,190,91.6,0.0431,5.705,132.3665893271
17,18.5,694,195,92,0.044,5.789,131.5681818182
18,19.32,650,199,91.4,0.0466,5.365,115.1287553648
19,20.15,672,198,91.2,0.0479,5.547,115.8037578288
20,21.04,650,201,91,0.0541,5.308,98.1146025878
21,21.49,648,201,91,0.0541,5.295,97.8743068392
22,22.34,619,213,90.8,0.0612,4.959,81.0294117647
23,23.19,622,209,91,0.0618,5.037,81.5048543689
24,24.05,586,214,90.8,0.0733,4.63,63.1650750341
25,25.05,586,214,90.2,0.0725,4.606,63.5310344828
26,25.52,509,218,89.8,0.0821,3.8458,46.8428745432
27,26.45,531,222,89,0.0882,4.081,46.2698412698
28,27.33,442,233,88,0.1043,3.0915,29.6404602109
29,28.18,450,240,87.3,0.1038,3.1283,30.1377649326
30,29.04,356,248,86.5,0.1288,2.2988,17.847826087
31,29.55,369,253,84.9,0.1254,2.3067,18.3947368421
32,30.43,449,243,85.1,0.1165,3.0776,26.417167382
33,31.26,459,241,85.5,0.1164,3.1499,27.0609965636
34,32.11,504,244,82.8,0.1088,3.6446,33.4981617647
35,32.49,504,234,87.1,0.1018,3.6907,36.2544204322
36,33.44,543,226,87.5,0.0902,4.115,45.6208425721
37,34.46,545,221,88.4,0.0905,4.123,45.5580110497
38,35.31,596,217,89,0.077,4.64,60.2597402597
39,36.14,585,216,89.4,0.0762,4.577,60.0656167979
40,37,622,210,89.8,0.0623,4.982,79.9678972713
41,37.47,615,201,90.6,0.062,4.955,79.9193548387
42,38.31,650,198,90.8,0.0534,5.278,98.8389513109
43,40.09,705,182,91.6,0.0388,5.919,152.5515463918
44,41.49,674,144,92.9,0.0259,5.719,220.8108108108
