#,time,n,DT,T2,I,V,R
1,10.15,534,170,76.5,0.0864,3.9372,45.5694444444
2,11.22,555,167,78.1,0.0889,4.005,45.0506186727
3,12.18,491,164,78.5,0.0976,3.4846,35.7028688525
4,13.08,463,171,78.1,0.1135,3.0585,26.9471365639
5,13.55,417,178,77.7,0.1218,2.5502,20.9376026273
6,14.5,370,188,77.3,0.1298,2.0934,16.1278890601
7,15.37,303,192,76.3,0.1398,1.3723,9.8161659514
8,16.28,235,202,64.8,0.1468,0.7026,4.7861035422
9,17.19,206,214,72.8,0.1475,0.4932,3.3437288136
10,18.06,207,218,71.6,0.1446,0.495,3.4232365145
11,19.35,309,219,71.1,0.1419,1.4774,10.4115574348
12,20.24,319,212,71.6,0.143,1.4888,10.4111888112
13,21.21,363,206,72.6,0.1416,1.8418,13.0070621469
